SeqName	Length	Cys	NT	NR	RefSeq	SwissProt	KOALAKEGG	Hits	PFAM	SignalP?	Allergenic?	Conserved?	GO ?	EC	Up in males/larvae?	Class
SSAE_02405	511	2	Nasonia vitripennis uncharacterized LOC103318189 (LOC103318189) transcript variant mRNA	hypothetical protein RF55_12896	gi|861622410|gb|KMQ87740.1|hypothetical protein RF55_12896 [Lasius niger]	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_02406	670	2	Solenopsis invicta uncharacterized LOC105201301 (LOC105201301) mRNA	PREDICTED: uncharacterized protein LOC105203360	gi|751233528|ref|XP_011170448.1|PREDICTED: uncharacterized protein LOC105203360 [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02407	959	4	Monomorium pharaonis regulator of G- signaling 9 (LOC105837950) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02408	582	0	Pseudomyrmex gracilis uncharacterized LOC109862001 (LOC109862001) mRNA	50 kda in type i retrotransposable element r1dm	gi|861620199|gb|KMQ87208.1|putative 50 kda protein in type i retrotransposable element r1dm [Lasius niger]	NA	none	blasted	no	No	Allergenic	-	F:metal ion binding	none	no	Allergenic  
SSAE_02409	433	8	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02410	472	3	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02411	269	8	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02412	328	4	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02413	1123	2	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02414	706	4	Vollenhovia emeryi limbic system-associated membrane (LOC105563288) transcript variant mRNA	Obscurin	gi|307181815|gb|EFN69258.1|Obscurin [Camponotus floridanus]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02415	168	2	Solenopsis invicta CREB-binding (LOC105195182) transcript variant mRNA	CREB-binding isoform X5	gi|751207663|ref|XP_011156403.1|PREDICTED: CREB-binding protein-like isoform X2 [Solenopsis invicta]	NA	none	blasted	no	Secreted	no	-	none	none	no	Secreted  
SSAE_02416	277	7	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
SSAE_02417	761	0	Trachymyrmex septentrionalis uncharacterized LOC108752670 (LOC108752670) transcript variant mRNA	PDZ domain-containing 2	gi|322792429|gb|EFZ16413.1|hypothetical protein SINV_14158, partial [Solenopsis invicta]	NA	interleukin 16	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_02418	859	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02419	492	4	Solenopsis invicta uncharacterized LOC105193091 (LOC105193091) mRNA	PREDICTED: uncharacterized protein LOC107188904	gi|987913840|ref|XP_015432785.1|PREDICTED: uncharacterized protein LOC107188904 [Dufourea novaeangliae]	NA	none	blasted	no	No	no	-	F:nucleic acid binding; F:zinc ion binding; F:aspartic-type endopeptidase activity; P:proteolysis	none	no	similar to 
SSAE_02420	272	3	Solenopsis invicta dehydrogenase reductase SDR family member 7 (LOC105202359) mRNA	NA	NA	NA	none	blasted	no	No	no	-	none	none	no	  
SSAE_02421	677	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02422	561	4	Solenopsis invicta midnolin-A-like (LOC105207898) transcript variant mRNA	midnolin-A-like isoform X1	gi|861653551|gb|KMQ99193.1|midnolin-b-like isoform x3 protein [Lasius niger]	MIDN_DROME Midnolin homolog OS=Drosophila melanogaster GN=stx PE=1 SV=1	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02423	772	0	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02424	390	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02425	720	4	Wasmannia auropunctata sterol regulatory element-binding 1 (LOC105458112) transcript variant mRNA	sterol regulatory element-binding 2	gi|383856663|ref|XP_003703827.1|PREDICTED: sterol regulatory element-binding protein 1 [Megachile rotundata]	NA	none	blasted	no	No	no	conserved	C:integral component of membrane; F:protein dimerization activity	none	no	conserved transcript 
SSAE_02426	629	4	NA	Epidermal growth factor receptor	gi|1009421809|gb|KYN40202.1|Epidermal growth factor receptor [Trachymyrmex septentrionalis]	NA	none	blasted	no	No	Allergenic	conserved	transmembrane receptor protein tyrosine kinase activity,ATP binding,transmembrane receptor protein tyrosine kinase signaling pathway,integral component of membrane,peptidyl-tyrosine phosphorylation	Transferring phosphorus-containing groups,Receptor protein-tyrosine kinase,Transferring phosphorus-containing groups	no	Allergenic conserved Transferring phosphorus-containing groups,Receptor protein-tyrosine kinase,Transferring phosphorus-containing groups 
SSAE_02427	809	4	Trachymyrmex zeteki dynein assembly factor axonemal homolog (LOC108728998) transcript variant mRNA	calponin homology domain-containing DDB_G0272472	gi|795077807|ref|XP_011876698.1|PREDICTED: interaptin [Vollenhovia emeryi]	NA	none	blasted	no	No	no	conserved	integral component of membrane	none	no	conserved transcript 
SSAE_02428	530	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02429	908	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02430	490	3	Solenopsis invicta clone transposon complete sequence	Mariner Mos1	gi|332030263|gb|EGI70037.1|Mariner Mos1 transposase, partial [Acromyrmex echinatior]	MOS1T_DROMA Mariner Mos1 transposase OS=Drosophila mauritiana GN=mariner\T PE=1 SV=1	none	blasted	HTH_32	Secreted	no	conserved	C:membrane; F:transferase activity	none	no	Secreted conserved HTH_32
SSAE_02431	456	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02432	456	3	Monomorium pharaonis uncharacterized LOC105836500 (LOC105836500) transcript variant mRNA	Low-density lipo receptor-related	gi|1009385405|gb|KYN07800.1|hypothetical protein ALC62_01311, partial [Cyphomyrmex costatus]	NA	none	blasted	no	Secreted	no	conserved	F:hydrolase activity	none	no	Secreted conserved transcript 
SSAE_02433	555	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02434	747	5	Wasmannia auropunctata uncharacterized LOC105462588 (LOC105462588) mRNA	PREDICTED: uncharacterized protein LOC105462588	gi|780622171|ref|XP_011707595.1|PREDICTED: uncharacterized protein LOC105462588 [Wasmannia auropunctata]	NA	none	blasted	MotB_plug        	No	no	-	none	none	no	 MotB_plug 
SSAE_02435	755	2	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	conserved	none	none	Unrelated	unrelated unknown Secreted Allergenic conserved transcript 
SSAE_02436	585	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02437	617	1	Solenopsis invicta uncharacterized LOC105203341 (LOC105203341) mRNA	PREDICTED: uncharacterized protein LOC105203341, partial	gi|751233484|ref|XP_011170425.1|PREDICTED: uncharacterized protein LOC105203341, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02438	739	2	Cyphomyrmex costatus S-adenosylmethionine synthase (LOC108776279) transcript variant mRNA	S-adenosylmethionine synthase isoform X1	gi|861637821|gb|KMQ92281.1|s-adenosylmethionine synthase-like isoform 1 protein, partial [Lasius niger]	NA	none	blasted	no	No	no	conserved	F:ATP binding; F:metal ion binding; P:S-adenosylmethionine biosynthetic process; F:methionine adenosyltransferase activity; P:one-carbon metabolic process	Methionine adenosyltransferase	no	conserved Methionine adenosyltransferase 
SSAE_02439	553	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02440	347	2	NA	NA	NA	NA	none	unknown	no	No	Allergenic	-	none	none	no	unknown Allergenic 
SSAE_02441	998	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	Unrelated	unrelated unknown conserved transcript
SSAE_02442	354	1	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	Unrelated	unrelated unknown transcript  
SSAE_02443	502	2	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	conserved	none	none	no	unknown Secreted Allergenic conserved transcript 
SSAE_02444	801	3	Trachymyrmex septentrionalis histone-lysine N-methyltransferase SETMAR-like (LOC108750943) transcript variant mRNA	Mariner Mos1	gi|485220010|gb|JAA76430.1|putative transposase [Rhodnius prolixus]	NA	none	blasted	no	Secreted	no	conserved	F:methyltransferase activity; F:transferase activity; P:methylation	none	no	Secreted conserved transcript 
SSAE_02445	522	2	NA	hypothetical protein SINV_10119, partial	gi|322796726|gb|EFZ19159.1|hypothetical protein SINV_10119, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	F:DNA binding; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding	none	no	conserved transcript 
SSAE_02446	958	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02447	1089	6	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	conserved	none	none	no	unknown Secreted Allergenic conserved transcript 
SSAE_02448	429	4	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02449	923	1	Cataglyphis cursor clone Ccur89 microsatellite sequence	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_02450	723	2	NA	hypothetical protein G5I_04663	gi|332026747|gb|EGI66856.1|hypothetical protein G5I_04663 [Acromyrmex echinatior]	NA	none	blasted	no	Secreted	Allergenic	conserved	none	none	no	Secreted Allergenic conserved transcript
SSAE_02451	1307	4	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	Unrelated	unrelated unknown Allergenic conserved transcript 
SSAE_02452	389	0	Linepithema humile UPF0329 ECU05_1680 ECU11_0050-like (LOC105679431) mRNA	UPF0329 ECU05_1680 ECU11_0050-like	gi|795009992|ref|XP_011864665.1|PREDICTED: uncharacterized protein LOC105560291 [Vollenhovia emeryi]	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_02453	663	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02454	451	0	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02455	573	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02456	510	1	Wasmannia auropunctata uncharacterized LOC105453325 (LOC105453325) transcript variant mRNA	hypothetical protein SINV_15081, partial	gi|322789648|gb|EFZ14846.1|hypothetical protein SINV_15081, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	P:cellular process	none	no	conserved transcript
SSAE_02457	847	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	Unrelated	unrelated unknown conserved transcript 
SSAE_02458	278	5	Solenopsis invicta uncharacterized LOC105201007 (LOC105201007) mRNA	PREDICTED: uncharacterized protein LOC105201007	gi|751227306|ref|XP_011167131.1|PREDICTED: uncharacterized protein LOC105201007 [Solenopsis invicta]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_02460	471	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02461	910	1	Cephus cinctus uncharacterized LOC107267672 (LOC107267672) mRNA	hypothetical protein ALC62_03208	gi|1009383227|gb|KYN05855.1|hypothetical protein ALC62_03208 [Cyphomyrmex costatus]	NA	none	blasted	no	No	Allergenic	conserved	C:integral component of membrane; P:single-organism metabolic process	none	no	Allergenic conserved transcript 
SSAE_02462	1286	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02463	615	2	Solenopsis invicta uncharacterized LOC105197166 (LOC105197166) mRNA	Pro-Pol poly	gi|307187066|gb|EFN72343.1|hypothetical protein EAG_00324, partial [Camponotus floridanus]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_02464	796	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02465	477	4	Solenopsis invicta uncharacterized LOC105207332 (LOC105207332) mRNA	blastopia poly	gi|1009408114|gb|KYN27495.1|hypothetical protein ALC57_03115, partial [Trachymyrmex cornetzi]	NA	none	blasted	no	No	no	-	F:nucleic acid binding; P:DNA integration	none	no	similar to 
SSAE_02466	171	4	Cyphomyrmex costatus uncharacterized LOC108779630 (LOC108779630) mRNA	enzymatic poly endonuclease reverse	gi|307180836|gb|EFN68678.1|Retrovirus-related Pol polyprotein from transposon 412 [Camponotus floridanus]	NA	none	blasted	no	No	Allergenic	conserved	F:nucleic acid binding; P:nucleic acid phosphodiester bond hydrolysis; F:endonuclease activity	none	no	Allergenic conserved transcript 
SSAE_02467	665	4	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02468	593	6	Solenopsis invicta calcium calmodulin-dependent kinase type 1-like (LOC105202459) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02469	493	2	Ehrlichia chaffeensis complete genome	carbamoyl phosphate synthase large subunit	gi|505401157|ref|WP_015588259.1|carbamoyl phosphate synthase large subunit [Wolbachia endosymbiont of Drosophila simulans]	CARB_ZYMMO Carbamoyl-phosphate synthase large chain OS=Zymomonas mobilis mobilis (strain ATCC 31821 ZM4 CP4) GN=carB PE=3 SV=2	none	blasted	no	No	no	-	F:magnesium ion binding; F:ATP binding; P:arginine biosynthetic process; F:manganese ion binding; F:carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; P:'de novo' UMP biosynthetic process	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	no	 Carbamoyl-phosphate synthase (glutamine-hydrolyzing) 
SSAE_02470	665	4	NA	NA	NA	NA	G2/mitotic-specific cyclin-B, other	blasted	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02471	1234	4	Dinoponera quadriceps nucleolar complex 3 homolog (LOC106749724) transcript variant mRNA	nucleolar complex 3 homolog	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_02472	706	1	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02473	462	3	Solenopsis invicta uncharacterized LOC105202558 (LOC105202558) mRNA	hypothetical protein SINV_05203, partial	gi|322784607|gb|EFZ11488.1|hypothetical protein SINV_05203, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	Solenopsidini	solute carrier family 35 member G1-like	none	no	Solenopsidini  solute carrier family 35 member G1-like
SSAE_02474	516	3	Wasmannia auropunctata solute carrier family 25 member 38-like (LOC105454488) transcript variant mRNA	solute carrier family 25 member 38-like isoform X1	gi|1153710043|ref|XP_020300244.1|solute carrier family 25 member 38-like isoform X1 [Pseudomyrmex gracilis]	S2538_RAT Solute carrier family 25 member 38 OS=Rattus norvegicus GN=Slc25a38 PE=2 SV=2	none	blasted	no	No	no	conserved	mitochondrial inner membrane,glycine transmembrane transporter activity,integral component of membrane,glycine import into mitochondrion	none	no	conserved transcript 
SSAE_02475	605	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02476	265	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02478	475	6	Linepithema humile phosphatidylglycerophosphatase and -tyrosine phosphatase 1 (LOC105668684) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02479	294	1	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	-	none	none	no	unknown Secreted Allergenic  
SSAE_02480	365	1	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02481	470	6	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02482	427	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02483	442	1	Vollenhovia emeryi uncharacterized LOC105571236 (LOC105571236) mRNA	rna-directed dna polymerase from mobile element jockey	gi|795015059|ref|XP_011884093.1|PREDICTED: uncharacterized protein LOC105571236 [Vollenhovia emeryi]	RTBS_DROME Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1	none	blasted	no	No	Allergenic	conserved	P:nucleic acid metabolic process; F:catalytic activity	none	no	Allergenic conserved transcript 
SSAE_02484	369	0	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02485	144	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	-	none	none	no	unknown Allergenic  
SSAE_02486	405	2	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_02487	715	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02488	723	3	Vollenhovia emeryi odorant receptor Or1-like (LOC105560074) transcript variant mRNA	odorant receptor Or1-like	gi|322782507|gb|EFZ10456.1|hypothetical protein SINV_11561, partial [Solenopsis invicta]	NA	none	blasted	CfAFP            	Secreted	Allergenic	conserved	F:odorant binding; C:integral component of membrane; P:detection of chemical stimulus involved in sensory perception of smell; F:olfactory receptor activity	none	no	Secreted Allergenic conserved CfAFP 
SSAE_02489	260	0	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	conserved	none	none	Unrelated	unrelated unknown Secreted Allergenic conserved transcript 
SSAE_02490	937	1	Pogonomyrmex barbatus double-stranded RNA-specific editase Adar (LOC105432061) transcript variant mRNA	double-stranded RNA-specific editase Adar isoform X1	gi|1009425831|gb|KYN43965.1|hypothetical protein ALC56_01503 [Trachymyrmex septentrionalis]	NA	none	blasted	no	Secreted	no	-	F:RNA binding; C:membrane; C:integral component of membrane; P:RNA processing; F:adenosine deaminase activity	none	no	Secreted  
SSAE_02491	358	2	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
SSAE_02492	551	4	Trachymyrmex septentrionalis serine protease Hayan-like (LOC108753749) transcript variant mRNA	serine protease persephone-like	gi|1070606342|ref|XP_018400807.1|PREDICTED: venom serine protease Bi-VSP-like [Cyphomyrmex costatus]	HAYAN_DROME Serine protease Hayan OS=Drosophila melanogaster GN=Hayan PE=2 SV=1	none	blasted	no	Secreted	no	conserved	F:peptidase activity	none	no	Secreted conserved transcript 
SSAE_02493	656	1	Aphid lethal paralysis virus isolate 4782ALPV nonstructural poly complete cds and capsid cds	nonstructural poly	gi|1132370348|ref|YP_009336540.1|hypothetical protein 1 [Hubei picorna-like virus 15]	NA	none	blasted	no	Secreted	Allergenic	unique	P:RNA metabolic process; F:organic cyclic compound binding; F:heterocyclic compound binding; F:peptidase activity; F:transferase activity	none	no	Secreted Allergenic unique  
SSAE_02494	1023	1	Wolbachia endosymbiont of Drosophila simulans complete genome	transaldolase	gi|1031777436|ref|WP_064125323.1|transaldolase [Wolbachia endosymbiont of Dactylopius coccus]	TAL_THEYD Probable transaldolase OS=Thermodesulfovibrio yellowstonii (strain ATCC 51303 DSM 11347 YP87) GN=tal PE=3 SV=1	none	blasted	TAL_FSA          	No	Allergenic	Solenopsidini	P:carbohydrate metabolic process; F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity; C:cytoplasm; P:pentose-phosphate shunt	Transaldolase	no	Allergenic Solenopsidini TAL_FSA Transaldolase 
SSAE_02495	1266	0	Ehrlichia chaffeensis complete genome	bacterial nuclease	gi|1031777311|ref|WP_064125198.1|hypothetical protein [Wolbachia endosymbiont of Dactylopius coccus]	NA	none	blasted	no	Secreted	no	-	C:membrane; C:integral component of membrane	none	no	Secreted  
SSAE_02496	511	4	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02497	431	9	Solenopsis invicta uncharacterized LOC105204483 (LOC105204483) mRNA	reverse transcriptase	gi|751226270|ref|XP_011166555.1|PREDICTED: uncharacterized protein LOC105200616 [Solenopsis invicta]	NA	none	blasted	no	No	no	-	F:nucleic acid binding; F:RNA-directed DNA polymerase activity; F:zinc ion binding; F:metal ion binding; P:RNA-dependent DNA biosynthetic process	none	no	similar to 
SSAE_02498	692	3	PREDICTED: Solenopsis invicta putative uncharacterized protein DDB_G0282133 (LOC105203533), mRNA	hypothetical protein SINV_06169, partial	gi|322783376|gb|EFZ10915.1|hypothetical protein SINV_06169, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	-	none	none	no	  
SSAE_02499	938	2	Solenopsis invicta nuclear pore complex DDB_G0274915 homolog (LOC105201257) mRNA	golgin subfamily A member 6 22	gi|322793181|gb|EFZ16845.1|hypothetical protein SINV_07104, partial [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_02500	175	8	Trachymyrmex cornetzi calcium-transporting ATPase type 2C member 1 (LOC108761296) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_02501	453	3	NA	NA	NA	NA	none	unknown	no	Secreted	no	-	none	none	no	unknown Secreted  
SSAE_02502	1015	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02503	262	1	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02504	513	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02505	559	5	Linepithema humile uncharacterized LOC105668755 (LOC105668755) transcript variant mRNA	PREDICTED: uncharacterized protein LOC108762467	gi|1070181136|ref|XP_018364986.1|PREDICTED: uncharacterized protein LOC108762467 [Trachymyrmex cornetzi]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_02506	416	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02507	328	4	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_02508	909	7	Solenopsis invicta rhomboid-related 3 (LOC105200848) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_02509	510	1	Solenopsis invicta peptidoglycan-recognition 1-like (LOC105203375) mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02510	399	1	NA	NA	NA	NA	none	unknown	no	Secreted	no	-	none	none	no	unknown Secreted  
SSAE_02511	496	2	Solenopsis invicta uncharacterized LOC105197971 (LOC105197971) mRNA	Transposon Tf2-6	gi|751234354|ref|XP_011170902.1|PREDICTED: uncharacterized protein LOC105203724 [Solenopsis invicta]	NA	none	blasted	no	No	no	-	F:nucleic acid binding; F:zinc ion binding; P:DNA integration	none	no	similar to 
SSAE_02512	458	3	NA	hypothetical protein SINV_15891, partial	gi|322783055|gb|EFZ10747.1|hypothetical protein SINV_15891, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	-	C:membrane; C:integral component of membrane	none	no	  
SSAE_02513	332	1	Wasmannia auropunctata uncharacterized LOC105454750 (LOC105454750) transcript variant misc_RNA	NA	NA	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_02514	838	5	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02515	219	7	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	-	none	none	no	unknown Secreted Allergenic  
SSAE_02516	537	6	Monomorium pharaonis coiled-coil domain-containing 103 (LOC105830837) mRNA	coiled-coil domain-containing 103	gi|826421885|ref|XP_012525920.1|PREDICTED: coiled-coil domain-containing protein 103 [Monomorium pharaonis]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02517	709	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_02518	563	2	Solenopsis invicta uncharacterized LOC105201302 (LOC105201302) mRNA	PREDICTED: uncharacterized protein LOC105201302	gi|751228334|ref|XP_011167572.1|PREDICTED: uncharacterized protein LOC105201302 [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	F:nucleic acid binding; P:DNA integration	none	no	conserved transcript 
SSAE_02519	296	8	NA	NA	NA	NA	none	unknown	no	Secreted	no	-	none	none	no	unknown Secreted  
SSAE_02520	233	0	Polistes dominula uncharacterized LOC107069697 (LOC107069697) transcript variant mRNA	Neurogenic locus notch	gi|751211056|ref|XP_011158253.1|PREDICTED: uncharacterized protein LOC105194840 [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	C:nucleus; F:transcription factor activity, sequence-specific DNA binding; F:zinc ion binding; F:calcium ion binding; C:membrane; C:integral component of membrane; P:regulation of transcription, DNA-templated	none	no	conserved transcript 
SSAE_02521	256	2	Wasmannia auropunctata uncharacterized LOC105458778 (LOC105458778) mRNA	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_02522	410	1	Dinoponera quadriceps uncharacterized LOC106743389 (LOC106743389) transcript variant mRNA	hypothetical protein SINV_08032, partial	gi|322792360|gb|EFZ16344.1|hypothetical protein SINV_08032, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_02523	219	3	NA	NA	NA	NA	none	unknown	no	No	Allergenic	-	none	none	no	unknown Allergenic  
SSAE_02524	653	1	Solenopsis invicta aldehyde dimeric NADP-preferring-like (LOC105204691) mRNA	aldehyde dimeric NADP-preferring-like	gi|751236674|ref|XP_011172182.1|PREDICTED: aldehyde dehydrogenase, dimeric NADP-preferring-like [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
